idx, 전형, 학과, 학교 이름, 거주 도시, 시/군/구, 학생 이름, 성별, 전화번호, 전화번호 주인, 점수, 졸업 여부, 날짜, 
1, 일반전형, 소프트웨어개발과, 광주, qkemr;, qw, we;r;l, 남자,  01012348530, 학생, 100, 졸업예정, 2022-05-12 02:50:20, 
2, 일반전형, 소프트웨어개발과, 광주, qkemr;, qw, we;r;l, 남자,  01012348530, 학생, 50, 졸업예정, 2022-05-12 02:49:34, 
3, 일반전형, 소프트웨어개발과, 광주, qkemr;, qw, we;r;l, 남자,  01012348530, 학생, 50, 졸업예정, 2022-05-12 02:46:36, 
4, 일반전형, 소프트웨어개발과, 광주, qkemr;, qw, we;r;l, 남자,  01012348530, 학생, 50, 졸업예정, 2022-05-12 02:45:49, 
5, 일반전형, 소프트웨어개발과, 광주, qkemr;, qw, we;r;l, 남자,  01012348530, 학생, 50, 졸업예정, 2022-05-12 02:44:43, 
6, 일반전형, 소프트웨어개발과, 광주, qkemr;, qw, we;r;l, 남자,  01012348530, 학생, 75, 졸업예정, 2022-05-12 02:44:29, 
7, 일반전형, 소프트웨어개발과, 광주, qkemr;, qw, we;r;l, 남자,  01012348530, 학생, 75, 졸업예정, 2022-05-12 02:43:47, 
8, 일반전형, 소프트웨어개발과, 광주, qkemr;, qw, we;r;l, 남자,  01012348530, 학생, 75, 졸업예정, 2022-05-12 02:43:19, 
9, 일반전형, 소프트웨어개발과, 광주, qkemr;, qw, we;r;l, 남자,  01012348530, 학생, 75, 졸업예정, 2022-05-12 02:43:15, 
10, 일반전형, 소프트웨어개발과, 광주, qkemr;, qw, we;r;l, 남자,  01012348530, 학생, 75, 졸업예정, 2022-05-12 02:39:22, 
11, 일반전형, 소프트웨어개발과, 광주, qkemr;, qw, we;r;l, 남자,  01012348530, 학생, 75, 졸업예정, 2022-05-12 02:39:02, 
12, 일반전형, 소프트웨어개발과, 광주, qkemr;, qw, we;r;l, 남자,  01012348530, 학생, 75, 졸업예정, 2022-05-12 02:36:27, 
13, 일반전형, 소프트웨어개발과, 광주, qkemr;, qw, we;r;l, 남자,  01012348530, 학생, 75, 졸업예정, 2022-05-12 02:35:17, 
14, 일반전형, 소프트웨어개발과, 광주, qkemr;, qw, we;r;l, 남자,  01012348530, 학생, 75, 졸업예정, 2022-05-12 02:32:53, 
15, 일반전형, 소프트웨어개발과, 광주, qkemr;, qw, we;r;l, 남자,  01012348530, 학생, 10, 졸업예정, 2022-05-12 02:32:32, 
16, 특별전형, 소프트웨어개발과, 경북, 안동시, 안동중학교, 리준환, 여자,  0, 학생, 146.67, 졸업예정, 2022-05-10 08:58:43, 
17, 일반전형, 소프트웨어개발과, 인천, qwe, qwe, qwe, 남자,  qwe, 학생, 220, 졸업예정, 2022-05-10 08:58:15, 
18, 일반전형, 소프트웨어개발과, 인천, qwe, qwe, qwe, 남자,  qwe, 학생, 73.33, 졸업예정, 2022-05-10 08:56:12, 
19, 일반전형, 소프트웨어개발과, 인천, qwe, qwe, qwe, 남자,  qwe, 학생, 73.33, 졸업예정, 2022-05-10 08:55:06, 
20, 일반전형, 소프트웨어개발과, 인천, qwe, qwe, qwe, 남자,  qwe, 학생, 73.33, 졸업예정, 2022-05-10 08:53:03, 
21, 일반전형, 소프트웨어개발과, 인천, qwe, qwe, qwe, 남자,  qwe, 학생, 73.33, 졸업예정, 2022-05-10 08:52:36, 
22, 일반전형, 소프트웨어개발과, 인천, qwe, qwe, qwe, 남자,  qwe, 학생, 0, 졸업예정, 2022-05-10 08:52:31, 
23, 일반전형, 소프트웨어개발과, 인천, qwe, qwe, qwe, 남자,  qwe, 학생, 73.33, 졸업예정, 2022-05-10 08:52:27, 
24, 일반전형, 소프트웨어개발과, 인천, qwe, qwe, qwe, 남자,  qwe, 학생, 36.67, 졸업예정, 2022-05-10 08:44:13, 
25, 일반전형, 소프트웨어개발과, 인천, qwe, qwe, qwe, 남자,  qwe, 학생, 0, 졸업예정, 2022-05-10 08:44:07, 
26, 일반전형, 소프트웨어개발과, 인천, qwe, qwe, qwe, 남자,  qwe, 학생, 220, 졸업예정, 2022-05-10 08:43:37, 
27, 일반전형, 소프트웨어개발과, 인천, qwe, qwe, qwe, 남자,  qwe, 학생, 107.56, 졸업예정, 2022-05-10 08:37:33, 
28, 일반전형, 소프트웨어개발과, 인천, qwe, qwe, qwe, 남자,  qwe, 학생, 9.17, 졸업예정, 2022-05-10 06:39:50, 
29, 일반전형, 소프트웨어개발과, 인천, qwe, qwe, qwe, 남자,  qwe, 학생, 0, 졸업예정, 2022-05-10 06:39:09, 
30, 일반전형, 소프트웨어개발과, 인천, qwe, qwe, qwe, 남자,  qwe, 학생, 218.17, 졸업예정, 2022-05-10 03:16:19, 
31, 일반전형, 소프트웨어개발과, 인천, qwe, qwe, qwe, 남자,  12398798379, 0, 220, 졸업예정, 2022-05-10 01:49:26, 
32, 일반전형, 소프트웨어개발과, 인천, qwe, qwe, qwe, 남자,  12398798379, 0, 220, 졸업예정, 2022-05-10 01:49:02, 
